"","gene","beta","sd","pval","pval_anova","cov","varexp","singular","beta_norm"
"4931431B13Rik","4931431B13Rik",0.324907043970328,0.0796766494938057,0.000586469590847962,0.000586469590847962,0.00634836847455876,0,TRUE,0.0121897319917768
"4932412D23Rik","4932412D23Rik",0.168560815501066,0.0724934352211648,0.0306987982253518,0.0306987982253518,0.00525529815016522,0,TRUE,0.0116084978062734
"4932414N04Rik","4932414N04Rik",0.05617091651389,0.0129865270833696,0.000328827082609208,0.000328827082609208,0.000168649885687091,0,TRUE,0.0111906760779452
"4932443L11Rik","4932443L11Rik",0.11616813710379,0.0386110355402811,0.00693898910823983,0.00693898910823983,0.00149081206549285,0,TRUE,0.0114137223003166
"4933406J09Rik","4933406J09Rik",0.0496477590419062,0.0190251621254126,0.0167753634864909,0.0167753634864909,0.000361956793898236,0,TRUE,0.011166425527374
"4933406K04Rik","4933406K04Rik",0.0441797809559931,0.0161584584817033,0.0127838727575376,0.0127838727575376,0.00026109578050493,0,TRUE,0.011146097721451
"4933406P04Rik","4933406P04Rik",0.489377785445711,0.0836688005934703,1.01040891793054e-05,1.01040891793054e-05,0.00700046819274989,0,TRUE,0.012801169942001
"4933417C20Rik","4933417C20Rik",0.27307147170793,0.0867009362675263,0.0050436644787401,0.0050436644787401,0.00751705234966566,0,TRUE,0.0119970275887407
"4933432G23Rik","4933432G23Rik",0.264570071733023,0.0729467451339985,0.0475397937989054,0.0475397937989054,0.00532122762564453,0.21106261665622,FALSE,0.0119654227055377
"4933432K03Rik","4933432K03Rik",0.0560526915887444,0.0256773631525721,0.0411299842647098,0.0411299842647098,0.000659326978469067,0,TRUE,0.0111902365638699
"5031425F14Rik","5031425F14Rik",0.620399777321384,0.132163297973372,0.00013928557891075,0.000139285578910749,0.0174671373311984,0,TRUE,0.0132882585112388
"5031434C07Rik","5031434C07Rik",0.0666327322238113,0.0231144361261125,0.00920169466832252,0.00920169466832252,0.000534277157428135,0,TRUE,0.0112295690208235
"5033406O09Rik","5033406O09Rik",0.268520418239288,0.0557831853423453,0.0246888587449815,0.0246888587449815,0.00311176376693844,0.196498245008572,FALSE,0.0119801085502589
"5033428I22Rik","5033428I22Rik",0.661361863935249,0.119275080482109,0.00981212259216613,0.00981212259216613,0.0142265448240136,0.376653274669833,FALSE,0.0134405395434238
"5330409N07Rik","5330409N07Rik",0.080521910640918,0.0284185582118106,0.0102679710415899,0.0102679710415899,0.000807614450838069,0,TRUE,0.0112812035590117
"5430427O19Rik","5430427O19Rik",6.26001088204751,0.614982396416267,2.3450655717375e-09,2.3450655717375e-09,0.378203347901895,0,TRUE,0.0342541289329552
"5430431A17Rik","5430431A17Rik",-2.45379180520649,1.06619831566331,0.0322509897236527,0.0322509897236527,1.13677884832328,0,TRUE,0.00185961544101065
"5730480H06Rik","5730480H06Rik",0.5490785089212,0.24054249490004,0.033528906195724,0.033528906195724,0.0578606918527357,0,TRUE,0.0130231139039561
"5830432E09Rik","5830432E09Rik",5.16852442027377,0.71260291547539,0.00716406435231546,0.00716406435231546,0.507802915144025,0.256697984212889,FALSE,0.0301964087640187
